station_id,station_name,crs,operator,route,county,latitude,longitude,major_interchange,terminus,branch_junction,nearest_landmark,nearest_landmark_km,nearest_castle,nearest_castle_km,nearest_cathedral,nearest_cathedral_km,nearest_museum,nearest_museum_km,nearest_country_house,nearest_country_house_km,nearest_nature_reserve,nearest_nature_reserve_km,route_count,service_count,service_density,route_diversity_band,time_from_london,time_band,accessibility_score,difficulty_score
SCR207,Irvine,IRV,,,,55.610916,-4.675196,,,,,,,,,,,,,,,,,,,,,,,
SCR208,Johnstone,JHN,,,,55.834759,-4.50369,,,,,,,,,,,,,,,,,,,,,,,
SCR209,Jordanhill,JOR,,,,55.882282,-4.326053,,,,,,,,,,,,,,,,,,,,,,,
SCR210,Keith,KEH,,,,57.550976,-2.954062,,,,,,,,,,,,,,,,,,,,,,,
SCR211,Kelvindale,KVD,,,,55.8933,-4.3106,,,,,,,,,,,,,,,,,,,,,,,
SCR212,Kennishead,KNS,,,,55.813099,-4.325119,,,,,,,,,,,,,,,,,,,,,,,
SCR213,Kildonan,KIL,,,,58.171432,-3.869993,,,,,,,,,,,,,,,,,,,,,,,
SCR214,Kilmarnock,KMK,,,,55.612835,-4.499048,,,,,,,,,,,,,,,,,,,,,,,
SCR215,Kilmaurs,KLM,,,,55.636425,-4.532331,,,,,,,,,,,,,,,,,,,,,,,
SCR216,Kilpatrick,KPT,,,,55.924755,-4.453454,,,,,,,,,,,,,,,,,,,,,,,
SCR217,Kilwinning,KWN,,,,55.655994,-4.710071,,,,,,,,,,,,,,,,,,,,,,,
SCR218,Kinbrace,KBC,,,,58.258408,-3.941063,,,,,,,,,,,,,,,,,,,,,,,
SCR219,Kinghorn,KGH,,,,56.069389,-3.174161,,,,,,,,,,,,,,,,,,,,,,,
SCR220,Kings Park,KGP,,,,55.819935,-4.247294,,,,,,,,,,,,,,,,,,,,,,,
SCR221,Kingsknowe,KGE,,,,55.919323,-3.265634,,,,,,,,,,,,,,,,,,,,,,,
SCR222,Kingussie,KIN,,,,57.07785,-4.052227,,,,,,,,,,,,,,,,,,,,,,,
SCR223,Kintore,KTR,,,,57.243611,-2.350278,,,,,,,,,,,,,,,,,,,,,,,
SCR224,Kirkcaldy,KDY,,,,56.112579,-3.167445,,,,,,,,,,,,,,,,,,,,,,,
