station_id,network,route_station_id,crs,station_name,route_group
SCR243,Scotrail,SC0243,LSN,Livingston North,
SCR244,Scotrail,SC0244,LVG,Livingston South,
SCR245,Scotrail,SC0245,LHA,Loch Awe,
SCR246,Scotrail,SC0246,LHE,Loch Eil Outward Bound,
SCR247,Scotrail,SC0247,LCL,Lochailort,
SCR248,Scotrail,SC0248,LCS,Locheilside,
SCR249,Scotrail,SC0249,LCG,Lochgelly,
SCR250,Scotrail,SC0250,LCC,Lochluichart,
SCR251,Scotrail,SC0251,LHW,Lochwinnoch,
SCR252,Scotrail,SC0252,LOC,Lockerbie,
SCR253,Scotrail,SC0253,LND,Longniddry,
SCR254,Scotrail,SC0254,MLG,Mallaig,
SCR255,Scotrail,SC0255,MNC,Markinch,
SCR256,Scotrail,SC0256,MYH,Maryhill,
SCR257,Scotrail,SC0257,MAX,Maxwell Park,
SCR258,Scotrail,SC0258,MAY,Maybole,
SCR259,Scotrail,SC0259,MEY,Merryton,
SCR260,Scotrail,SC0260,MIN,Milliken Park,
SCR261,Scotrail,SC0261,MLN,Milngavie,
SCR262,Scotrail,SC0262,MON,Monifieth,
SCR263,Scotrail,SC0263,MTS,Montrose,
SCR264,Scotrail,SC0264,MRR,Morar,
SCR265,Scotrail,SC0265,MPK,Mosspark,
SCR266,Scotrail,SC0266,MTH,Motherwell,
SCR267,Scotrail,SC0267,MFL,Mount Florida,
SCR268,Scotrail,SC0268,MTV,Mount Vernon,
SCR269,Scotrail,SC0269,MOO,Muir of Ord,
SCR270,Scotrail,SC0270,MUI,Muirend,
SCR271,Scotrail,SC0271,MUB,Musselburgh,
SCR272,Scotrail,SC0272,NRN,Nairn,
SCR273,Scotrail,SC0273,NEI,Neilston,
SCR274,Scotrail,SC0274,NCK,New Cumnock,
SCR275,Scotrail,SC0275,NEW,Newcraighall,
SCR276,Scotrail,SC0276,NTN,Newton,
SCR277,Scotrail,SC0277,NOA,Newton-On-Ayr,
SCR278,Scotrail,SC0278,NEG,Newtongrange,
SCR279,Scotrail,SC0279,NWR,Newtonmore,
SCR280,Scotrail,SC0280,NIT,Nitshill,
SCR281,Scotrail,SC0281,NBW,North Berwick,
SCR282,Scotrail,SC0282,NQU,North Queensferry,
SCR283,Scotrail,SC0283,OBN,Oban,
SCR284,Scotrail,SC0284,PCN,Paisley Canal,
SCR285,Scotrail,SC0285,PYG,Paisley Gilmour Street,
SCR286,Scotrail,SC0286,PYJ,Paisley St James,
SCR287,Scotrail,SC0287,PTK,Partick,
SCR288,Scotrail,SC0288,PTT,Patterton,
SCR289,Scotrail,SC0289,PTH,Perth,
SCR290,Scotrail,SC0290,PIT,Pitlochry,
SCR291,Scotrail,SC0291,PLK,Plockton,
